"ID","nwCongoID","tsID","SITE","CODE","FEAT","IND","VU","POTTERY","PROV","Xray","TYPE","BOX","FABRIC","SUBGRP","SurfSponges","NOTES","RIVER","GROUP","REFERENCE","labels"
171,"","50","Monkoto","MON","83/101","1","","Monkoto","","","R","","","","(x)","","Luilaka","","Wotzka 1995: 506 Pl. 72.5","mon#50"
172,"","51","Monkoto","MON","83/101","3","","Monkoto","","","B","","","","(x)","","Luilaka","","Wotzka 1995: 506 Pl. 72.6","mon#51"
173,"","52","Monkoto","MON","83/101","4","","indet","","","B","","","","o","","Luilaka","","Wotzka 1995: 505 Pl. 71.6","mon#52"
175,"","42","Salonga","SNP","03-4","1","","indet","","","W","","","","","30-40 cm","Luilaka","","","snp#42"
176,"","43","Salonga","SNP","01-7","1","","Bokuma (?)","","","B","","","","xx","60-70 cm","Luilaka","","","snp#43"
177,"","44","Salonga","SNP","03-7","1","","indet","","","R","","","","o","60-70 cm","Luilaka","","","snp#44"
178,"","45","Salonga","SNP","03-4","4","","indet","","","W","","","","o","30-40 cm","Luilaka","","","snp#45"
179,"","46","Salonga","SNP","03-4","5","","indet","","","W","","","","o","30-40 cm","Luilaka","","","snp#46"
220,"2699","99","Pikunda","PIK","87/2","-1:40","","Ebambe","","","W","","","","","","Sangha","","Seidensticker 2021: 430 Pl. 49.10","pik#99"
221,"803","","Pikunda","PIK","87/2","-1:44","","modern","","","W","","","","o","cf. modern PIK potter","Sangha","","","pik|221"
222,"813","98","Pikunda","PIK","87/2","-4:73","","Pikunda-Munda","","","W","","","","","","Sangha","","Seidensticker 2021: 429 Pl. 48.25","pik#98"
223,"5022","97","Pikunda","PIK","87/2","-6:52","","modern","","","R","","","","","cf. modern PIK potter","Sangha","","Seidensticker 2021: 430 Pl. 49.5","pik#97"
224,"382","103","Munda","MUN","87/2-1-3","-1:2","15","Pikunda-Munda","","x","vessel","","","","","","Likwala-aux-Herbes","","","mun#103"
225,"406","100","Munda","MUN","87/2-1-3","-4:4","1","Pikunda-Munda","","x","vessel","","","","","","Likwala-aux-Herbes","","","mun#100"
226,"413","","Munda","MUN","87/2-1-3","-6:15","3","Pikunda-Munda","","x","vessel","","","","xx","","Likwala-aux-Herbes","","","mun|226"
227,"370","","Munda","MUN","87/2-1-3","-1:1b","12","Pikunda-Munda","","x","vessel","","","","x","","Likwala-aux-Herbes","","","mun|227"
228,"423","","Munda","MUN","87/2-1-3","13a","4","Pikunda-Munda","","x","vessel","","","","xx","","Likwala-aux-Herbes","","","mun|228"
229,"390","102","Munda","MUN","87/2-1-3","3","11","Pikunda-Munda","","x","vessel","","","","","","Likwala-aux-Herbes","","","mun#102"
230,"420","","Munda","MUN","87/2-1-3","-6:6","14","Pikunda-Munda","","x","vessel","","","","x","","Likwala-aux-Herbes","","","mun|230"
231,"410","","Munda","MUN","87/2-1-3","-5:12","9","Pikunda-Munda","","x","","","","","xx","","Likwala-aux-Herbes","","","mun|231"
232,"354","","Munda","MUN","87/2-1-3","8","10","Pikunda-Munda","","x","","","","","xx","","Likwala-aux-Herbes","","","mun|232"
233,"356","","Munda","MUN","87/2-1-3","9","6","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","","","mun|233"
234,"333","","Munda","MUN","87/2-1-1","-4:4-21","8","Pikunda-Munda","","x","vessel","","1","","xx","","Likwala-aux-Herbes","","","mun|234"
235,"342","","Munda","MUN","87/2-1-1","-4:7","9","Pikunda-Munda","","x","","","1","","xx","","Likwala-aux-Herbes","","","mun|235"
236,"347","106","Munda","MUN","87/2-1-1","-8:1","4","Pikunda-Munda","","x","vessel","","1","","","","Likwala-aux-Herbes","","","mun#106"
237,"349","107","Munda","MUN","87/2-1-1","-8:3","5","Pikunda-Munda","","x","vessel-part","","1","","","","Likwala-aux-Herbes","","","mun#107"
238,"348","","Munda","MUN","87/2-1-1","-8:2","1","Pikunda-Munda","","x","","","1","","xx","","Likwala-aux-Herbes","","","mun|238"
239,"346","105","Munda","MUN","87/2-1-1","-7:2","6","Pikunda-Munda","","","B","","1","","","","Likwala-aux-Herbes","","","mun#105"
240,"3168","","Munda","MUN","87/2-1-1","-4:1","11","Pikunda-Munda","",""," ","","","","xx","","Likwala-aux-Herbes","","","mun|240"
241,"1873","109","Munda","MUN","87/1-0-2","-1:1","3","Ebambe","","x","vessel","","1","","","","Likwala-aux-Herbes","","","mun#109"
242,"1882","","Munda","MUN","87/1-0-2","-4:1","12","Ebambe","","","","","1","","x","","Likwala-aux-Herbes","","","mun|242"
243,"1879","","Munda","MUN","87/1-0-2","-3:3","10","Ebambe","","x","","","1","","x","","Likwala-aux-Herbes","","","mun|243"
244,"1874","","Munda","MUN","87/1-0-2","-1:2","4","Ebambe","","","","","1","","x","","Likwala-aux-Herbes","","","mun|244"
245,"1876","","Munda","MUN","87/1-0-2","-1:5; -2:1","6","Ebambe","","","","","1","","xx","","Likwala-aux-Herbes","","","mun|245"
246,"3447","","Munda","MUN","87/1-0-2","-5:1","22","Ebambe","","","","","1","","x","","Likwala-aux-Herbes","","","mun|246"
247,"1443","110","Munda","MUN","87/1-0-2","-4:2","19","Ebambe","","","vessel-part","","1","","","","Likwala-aux-Herbes","","","mun#110"
305,"","","Munda","MUN","87/1-0-2","-3:14 -4:69","","Ebambe","","","","","","","","","Likwala-aux-Herbes","","","mun|305"
306,"","","Munda","MUN","87/1-0-2","-3:6","","Ebambe","","","","","","","","","Likwala-aux-Herbes","","","mun|306"
307,"","","Munda","MUN","87/1-0-2","-4:70","","Ebambe","","","","","","","","","Likwala-aux-Herbes","","","mun|307"
308,"","","Munda","MUN","87/1-0-2","-5:6","","Ebambe","","","","","","","","","Likwala-aux-Herbes","","","mun|308"
309,"","","Munda","MUN","87/2-1-1","-2:1","","Pikunda-Munda","","","","","","","","","Likwala-aux-Herbes","","","mun|309"
310,"","","Munda","MUN","87/2-1-1","-2:3","","Pikunda-Munda","","","","","","","","","Likwala-aux-Herbes","","","mun|310"
311,"","","Munda","MUN","87/2-1-1","-4:11","","Pikunda-Munda","","","","","","","","","Likwala-aux-Herbes","","","mun|311"
312,"","","Munda","MUN","87/2-1-1","-5:5","","Pikunda-Munda","","","","","","","","","Likwala-aux-Herbes","","","mun|312"
315,"","","Pikunda","PIK","87/3","/I:1-2","","Ebambe","","","","","","","","","Sangha","","","pik|315"
316,"","","Pikunda","PIK","87/1","-1:72 -2:5","","Mandombe","","","","","","","","","Sangha","","","pik|316"
317,"","","Pikunda","PIK","87/1","-2:124","","Mandombe","","","","","","","","","Sangha","","","pik|317"
318,"","","Pikunda","PIK","87/1","-2:225","","Mandombe","","x","","","","","","","Sangha","","","pik|318"
319,"","","Pikunda","PIK","87/1","-3:9","","Mandombe","","x","","","","","","","Sangha","","","pik|319"
320,"","","Pikunda","PIK","87/1","-7:1 -8:4","","Pikunda-Munda","","x","","","","","","","Sangha","","","pik|320"
321,"","","Pikunda","PIK","87/2","-1:156","","indet","","","","","","","","","Sangha","","","pik|321"
322,"","","Pikunda","PIK","87/2","-1:327","","indet","","","","","","","","","Sangha","","","pik|322"
323,"","","Pikunda","PIK","87/2","-5:4","","indet","","","","","","","","","Sangha","","","pik|323"
324,"","","Pikunda","PIK","87/2","-5:11","","indet","","","","","","","","","Sangha","","","pik|324"
325,"","","Pikunda","PIK","87/2","-5:118","","indet","","","","","","","","","Sangha","","","pik|325"
345,"","","Munda","MUN","87/2-1-3","-1:1a","","Pikunda-Munda","","","","","","","","","Likwala-aux-Herbes","","","mun|345"
346,"","","Munda","MUN","87/1-0-1","1-4","","Pikunda-Munda (?)","","x","","","","","","","Likwala-aux-Herbes","","","mun|346"
347,"","","Munda","MUN","87/1-0-2","-3:1","","Ebambe","","x","","","","","","","Likwala-aux-Herbes","","","mun|347"
348,"","","Munda","MUN","87/1-0-2","-3:2","","Ebambe","","x","","","","","","","Likwala-aux-Herbes","","","mun|348"
349,"","","Munda","MUN","87/2-1-3","-5:18","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","","","mun|349"
350,"","","Munda","MUN","87/2-1-3","-4:11","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","","","mun|350"
351,"","","Munda","MUN","87/2-1-3","-5:5","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","","","mun|351"
352,"","","Munda","MUN","87/2-1-3","-6:1-2","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","","","mun|352"
